nombre,correo,telefono,ciudad,estado,segmento
Ana García,ana.garcía0@email.com,5595822412,Sonora,Guanajuato,Minorista
Carlos López,carlos.lópez1@email.com,5524942603,Veracruz,Guanajuato,Minorista
María Hernández,maría.hernández2@email.com,5513356886,Sonora,Oaxaca,Minorista
José Martínez,josé.martínez3@email.com,5546913810,Yucatán,Puebla,Mayorista
Laura Sánchez,laura.sánchez4@email.com,5542868828,Veracruz,Ciudad de México,Mayorista
Miguel Rodríguez,miguel.rodríguez5@email.com,5539958838,Chihuahua,Chihuahua,Mayorista
Sofía Torres,sofía.torres6@email.com,5528728463,Oaxaca,Sonora,Corporativo
Luis Ramírez,luis.ramírez7@email.com,5523756669,Puebla,Jalisco,Mayorista
Fernanda Cruz,fernanda.cruz8@email.com,5583197857,Ciudad de México,Yucatán,Minorista
Roberto Morales,roberto.morales9@email.com,5521668732,Nuevo León,Jalisco,Mayorista
Alejandra Reyes,alejandra.reyes10@email.com,5589254563,Yucatán,Sonora,Mayorista
Eduardo Jiménez,eduardo.jiménez11@email.com,5566629388,Guanajuato,Puebla,Minorista
Patricia Flores,patricia.flores12@email.com,5514265799,Puebla,Oaxaca,Corporativo
Arturo Vargas,arturo.vargas13@email.com,5513999315,Nuevo León,Guanajuato,Mayorista
Daniela Guzmán,daniela.guzmán14@email.com,5522575562,Veracruz,Oaxaca,Corporativo
Sergio Mendoza,sergio.mendoza15@email.com,5539345092,Guanajuato,Veracruz,Corporativo
Claudia Ortiz,claudia.ortiz16@email.com,5541227216,Jalisco,Jalisco,Corporativo
Rafael Herrera,rafael.herrera17@email.com,5577827638,Jalisco,Ciudad de México,Minorista
Valeria Peña,valeria.peña18@email.com,5590801586,Yucatán,Veracruz,Corporativo
Andrés Castillo,andrés.castillo19@email.com,5513561597,Jalisco,Puebla,Corporativo
